15,29,8
5,7,14
10,21,13
2,22,22
0,14,13
15,28,5
0,29,9
7,4,30
6,29,18
6,21,21
15,21,9
2,26,17
3,15,8
12,13,25
2,1,13
9,20,26
4,1,2
13,23,30
1,14,24
6,9,15
9,14,0
14,21,27
15,26,17
9,0,2
6,17,20
3,12,17
4,3,21
12,11,19
3,12,0
10,18,0
1,9,20
10,29,17
15,6,20
9,1,3
15,28,30
8,2,4
6,25,28
13,17,9
12,19,7
0,21,17
12,9,11
2,24,3
4,19,14
11,15,26
11,2,25
10,12,1
10,28,24
4,7,19
10,26,5
11,0,3
13,2,26
8,15,20
5,18,7
3,4,8
5,6,30
12,10,7
8,2,7
8,5,27
14,22,24
5,6,27
9,21,2
12,13,19
9,23,0
0,18,24
4,20,10
5,3,16
5,11,23
8,18,21
5,14,17
5,12,5
13,22,0
13,24,21
13,18,5
6,7,27
2,16,26
9,17,25
3,13,5
12,15,25
13,17,0
1,5,4
10,1,2
13,19,15
13,7,1
7,8,25
15,5,12
12,4,9
4,25,0
6,29,16
2,5,17
8,3,23
11,15,19
2,13,15
14,0,9
4,27,20
7,5,25
14,21,25
11,19,6
4,0,26
4,29,17
15,21,12
9,13,5
2,2,19
6,22,21
11,14,20
7,27,15
